episode,avg_reward
0,-180.18326213234818
1,-224.44277105763587
2,-171.15707693348952
3,-250.39880086254144
4,-120.93456600042191
5,-160.23875458146873
6,-169.00096929056377
7,-136.88370398934794
8,-166.92588475430387
9,-160.91244714826266
10,-146.48750291938333
11,-112.03075105763267
12,-139.90460392621588
13,-163.80118649997988
14,-127.02247837092644
15,-181.88496088695982
16,-125.10654893621242
17,-125.81242758540118
18,-109.95569286245589
19,-100.38413627692742
20,-142.96117213079538
21,-127.8705576418226
22,-123.89246505368139
23,-101.92669067003827
24,-82.18459619181482
25,-90.45388202500628
26,-132.96087010169666
27,-126.553814706405
28,-92.84477080003545
29,-91.62083582091766
30,-96.34386527303047
31,-95.37378278635937
32,-87.27125224413611
33,-76.92959894429188
34,-101.80798060621822
35,-99.03563481166313
36,-73.24136111014167
37,-91.09811284585895
38,-105.81981834933882
39,-77.54696412149899
40,-86.03275639014957
41,-79.91037696074936
42,-88.56029855271791
43,-79.22894508977849
44,-104.8859866902109
45,-94.72281471079519
46,-98.34242497874357
47,-98.8809726211549
48,-90.409009945794
49,-102.03546727233856
50,-90.28389351213302
51,-93.50488794638184
52,-67.93166467863298
53,-89.80734403973703
54,-77.51985502183757
55,-92.5740312239597
56,-55.813082551765035
57,-66.44906816727018
58,-78.30669539850001
59,-73.5587009066718
60,-87.35562262326677
61,-74.3393080310862
62,-75.10552089602064
63,-61.873586636714734
64,-87.33036930554472
65,-83.56218674572989
66,-56.53715125518325
67,-65.04270585485935
68,-60.64618914563107
69,-52.042788447324675
70,-80.2458981790523
71,-68.65451296187221
72,-54.71914553313859
73,-69.94238101163047
74,-70.86362047448506
75,-83.04455885401093
76,-70.1991498297289
77,-61.57173144235338
78,-61.89695870331735
79,-79.96505953272847
80,-62.472409024721856
81,-78.05636589818204
82,-82.817243962759
83,-91.06008120036579
84,-58.62313047120902
85,-91.36108311687254
86,-63.55051950198625
87,-39.696618898734684
88,-74.22248874732335
89,-69.42995649856644
90,-107.52942970885056
91,-74.39182475891653
92,-62.52973107613589
93,-46.3713446653865
94,-68.88178869138136
95,-83.34786394092015
96,-69.6515252050421
97,-36.83562254380751
98,-92.05606090866289
99,-68.79326871799373
100,-65.51959708624614
101,-52.87752957007815
102,-88.48352576141265
103,-69.76504447027843
104,-58.696585114923195
105,-79.14601452327273
106,-48.65305094813074
107,-64.14159621741062
108,-94.6693594614502
109,-80.949889422327
110,-68.94146208329035
111,-82.59946679809332
112,-46.92067052299831
113,-55.20933753168956
114,-59.23091869237527
115,-86.19177232504798
116,-69.50855269038917
117,-49.22752749477236
118,-52.83346311163192
119,-42.798626594384515
120,-46.31154035593662
121,-54.85916096114863
122,-55.113105914875916
123,-36.762405266706764
124,-42.507268397956075
125,-36.586175999077874
126,-41.19443956882364
127,-56.74167376248219
128,-49.405488009342626
129,-50.34934967887109
130,-42.46325083445841
131,-61.309543878035
132,-50.42022563919097
133,-31.168838291699096
134,-40.183798950643364
135,-38.09583252019293
136,-43.13361791424396
137,-65.65759642409934
138,-42.49503479452501
139,-44.29928586766224
140,-57.386093399629274
141,-36.13839635029265
142,-42.365760612201136
143,-99.843637554408
144,-64.64659950051023
145,-75.92357475220335
146,-39.52330891124088
147,-70.0479363613328
148,-88.13120423723494
149,-53.304050204208025
150,-44.69232493397921
151,-56.92983284879764
152,-60.85175253580464
153,-32.1220070742073
154,-53.07777591172834
155,-41.378412414457884
156,-47.989812209825615
157,-51.606797328876176
158,-21.557788114385005
159,-32.51925889555263
160,-36.892306528940665
161,-28.508018494663173
162,-30.404911191975135
163,-48.49891812273118
164,-73.75955631518084
165,-31.715007395501488
166,-89.1663963990566
167,-28.664583630581113
168,-47.12304804308181
169,-48.77099776415766
170,-54.04965779950688
171,-63.68008544030456
172,-25.19115701796689
173,-26.443975128165345
174,-46.30545942134671
175,-63.96151592817357
176,-48.71220627784096
177,-42.20964787792012
178,-91.96591325656445
179,-54.2976558955149
180,-46.49969669374617
181,-40.56400341157756
182,-38.66413567187737
183,-65.93061922935357
184,-26.066741613745087
185,-58.19906834302496
186,-26.353845262054172
187,-27.633991901342586
188,-31.484642853081613
189,-110.05377580264818
190,-48.62170005769701
191,-59.23587112189502
192,-41.83436886168225
193,-70.93598004571268
194,-28.789275092130378
195,-29.62742827042357
196,-56.25861377203033
197,-42.48273774173613
198,-53.65728692478658
199,-13.277241920361016
200,-22.51990744711555
201,-71.1770542933557
202,-27.450602968457503
203,-96.3308316478103
204,-75.82829495359144
205,-34.16260162942497
206,-65.32240104759194
207,-96.92180700767555
208,-85.99759874668507
209,-9.76884454009562
210,-44.86285010472863
211,-45.29675730093177
212,5.621449321168467
213,-41.02366129372911
214,7.146083742882142
215,-40.821084850073774
216,-21.201747950221083
217,10.097810631608192
